Women's TOP,W Searchg size,W RISING search,W Percent incr.,,Men's TOP,M Searchg size,M RISING Search,M Percent incr.
Woman,100,Ballet flat,Breakout,,Man,100,NOCTA Basketball Jersey Black,Breakout
Clothing,26,adidas Originals Adicolor,Breakout,,Nike,39,Nike Men's Tech Fleece Half-zip Top FZ7568,Breakout
Nike,25,"""501""",Breakout,,Nike,38,menswear,350%
Nike,25,Nike Air Jordan III,600%,,Fashion,28,Nike x Nocta Basketball Hoodie,250%
Shoe,19,Polo Shirt,300%,,Shoe,28,Cole Haan GrandPrø,200%
Trainer,12,Saucony,160%,,Clothing,15,ECCO,190%
adidas,10,Strap,160%,,Trainer,14,Nike Air Jordan V,160%
adidas,10,Fanatics,150%,,adidas,13,1950s,150%
Black,9,Fanatics,120%,,adidas,13,High-top,150%
Nike Air Max,9,Shorts,120%,,Black,13,New Balance Fresh Foam,140%
Nike Air,8,Embroidery,110%,,Jacket,11,New Balance Fuelcell,120%
Boot,8,Swimwear,110%,,Air Jordan,11,Timberland PRO,110%
Jacket,6,Slide,90%,,Shirt,10,Nike Pegasus,110%
Pink,6,Hiking,90%,,Nike Store,10,Nike Mercurial Vapor,90%
Air Jordan,6,Nike Air Max 90,90%,,Trousers,9,Converse,90%
Nike Store,6,Merrell,90%,,Watch,8,LeBron,80%
White,6,Nike Free,80%,,Boot,8,Fruit of the Loom,80%
Size,5,Reebok,80%,,Blue,8,Cleat,80%
Leather,5,Rolex Datejust,80%,,T-shirt,8,Nike Flyknit,70%
Shirt,4,Cole Haan,70%,,Running,7,Fruit of the Loom,70%
Blue,4,Sandal,60%,,Hoodie,7,Vans Slip-On,70%
T-shirt,4,Nike Air Force 1,50%,,New Balance,7,Travis Scott,70%
Trousers,4,,,,New Balance,7,Rolex Datejust,70%
Top,4,,,,Size,6,Running Shoe,60%
,,,,,White,6,Quartz,60%
