Day,Zara: (United States),H&M: (United States),Nike: (United States),adidas: (United States)
17-01-2025,12,11,82,28
18-01-2025,14,13,92,31
19-01-2025,14,13,86,31
20-01-2025,14,13,80,28
21-01-2025,12,11,71,23
22-01-2025,12,10,72,23
23-01-2025,12,10,70,24
24-01-2025,12,11,79,25
25-01-2025,14,13,92,31
26-01-2025,15,13,88,32
27-01-2025,12,11,75,28
28-01-2025,11,11,70,25
29-01-2025,11,11,73,29
30-01-2025,11,10,76,26
31-01-2025,11,11,76,25
01-02-2025,15,12,95,33
02-02-2025,15,14,100,35
03-02-2025,12,11,78,27
04-02-2025,11,11,79,28
05-02-2025,12,11,74,26
06-02-2025,12,11,76,26
07-02-2025,12,11,78,27
08-02-2025,14,13,97,35
09-02-2025,15,14,92,33
10-02-2025,12,10,84,27
11-02-2025,12,11,80,29
12-02-2025,12,11,80,27
13-02-2025,12,11,82,27
14-02-2025,12,11,77,27
15-02-2025,16,14,98,34
16-02-2025,17,15,97,37
17-02-2025,16,15,88,37
